Strain Name,terpenes.myrcene,terpenes.pinene,terpenes.caryophyllene,terpenes.limonene,terpenes.linalool,terpenes.terpinolene,terpenes.ocimene,terpenes.humulene,terpenes.other,cannabinoids.THC,cannabinoids.CBD,cannabinoids.CBG,cannabinoids.CBN,cannabinoids.other,medical_effects.Stress,medical_effects.Anxiety,medical_effects.Depression,medical_effects.Pain,medical_effects.Insomnia,medical_effects.Lack of Appetite,medical_effects.Nausea,medical_effects.other,user_effects.Happy,user_effects.Euphoric,user_effects.Creative,user_effects.Relaxed,user_effects.Uplifted,user_effects.Energetic,user_effects.Focused,user_effects.Sleepy,user_effects.Hungry,user_effects.Talkative,user_effects.Tingly,user_effects.Giggly,user_effects.DryMouth,user_effects.DryEyes,user_effects.Dizzy,user_effects.Paranoid,user_effects.Anxious,user_effects.other,onset_minutes,duration_hours,interactions.Sedatives,interactions.Anti-anxiety (benzodiazepines),interactions.Antidepressants (SSRIs),interactions.Opioid analgesics,interactions.Anticonvulsants,interactions.Anticoagulants,interactions.other,flavors.Berry,flavors.Sweet,flavors.Earthy,flavors.Pungent,flavors.Pine,flavors.Vanilla,flavors.Minty,flavors.Skunky,flavors.Citrus,flavors.Spicy,flavors.Herbal,flavors.Diesel,flavors.Tropical,flavors.Fruity,flavors.Grape,flavors.other
"Super Lemon Haze",0.008,,0.005,0.003,0.001,0.001,,,,0.19,0,0.01,,,0.5,,0.8,,,,,,,,0.6,0.3,0.6,0.7,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,,,,,,,,,0.7,,,,,,,
"Green Crack",0.008,0.005,0.003,0.001,0.001,,,,,0.17,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,0.3,,,,,,,0.3,,,,0.3,,5,3,,,,,,,,,,,,,,,,0.7,,,,,,,
"Super Silver Haze",0.008,,0.005,0.003,0.001,0.001,,,,0.21,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,0.3,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,0.7,,,,,,,
"Tropicana Cookies",0.008,,0.005,0.003,0.001,,,,,0.16,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,,,,0.3,,5,3,,,,,,,,,,,,,,,,0.4,,,,,,,
"White Fire OG",0.008,,,,,,,,,0.22,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,,,,0.9,,,,,,,,,,,,
"Lamb's Bread",0.008,0.005,0.003,0.001,0.001,,,,,0.18,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,0.3,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,0.7,,,,,,,,,,,,
"Gelato",0.008,,0.005,0.003,0.001,,,,,0.21,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,0.7,0.7,0.5,,,,,0.8,0.7,0.5,,,0.5,,
"Island Sweet Skunk",0.008,0.005,,0.003,0.001,,,,,0.18,0,0.01,,,0.5,,0.5,0.8,,,,,,,,0.3,0.3,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,0.7,,,,,,,,
"Jack Herer",0.008,0.005,0.003,,0.001,,,,,0.18,,0.01,,,0.5,,0.8,,0.3,,,,,,0.6,0.3,0.3,0.7,,0.3,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,,,,,0.7,,,,,,,,,,,
"Bruce Banner",,0.008,,,,,,,,0.21,0,0.01,,,0.5,,0.5,,,,,,,0.3,0.6,0.3,0.6,0.7,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,0.8,,,,,,,,,,,
"Tangie",0.008,0.005,,0.003,0.001,,,,,0.17,0,0.01,,,0.5,,0.5,,,,,,,0.3,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,0.7,,,,,,,
"Strawberry Banana",0.008,0.005,0.003,0.001,0.001,,,,,0.21,0,0.01,,,0.8,,0.5,,,,,,0.3,,,0.3,,,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,0.9,,,,,,,,,,,,,,,
"Headband",,,0.008,0.005,0.003,0.001,,,,0.2,0,0.01,,,0.5,,0.5,,,,,,,0.3,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,0.7,,,,,,,
"Haze",0.008,0.005,0.003,0.001,0.001,,,,,0.18,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,,,,0.3,0.3,,5,3,,,,,,,,,,,,,,,,,0.4,0.4,,,,,
"Skunk #1",0.008,0.005,,0.003,0.001,,,,,0.17,0,0.01,,,0.5,,0.5,,,,,,0.3,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,0.7,,,,,,,,
"Vanilla Frosting",0.008,0.005,0.003,0.001,0.001,,,,,0.2,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,0.4,,,,,,,,,,
"Chocolope",0.008,0.005,,0.003,0.001,,,,,0.22,,0.03,,,0.5,,0.5,0.5,0.6,,,,,,,0.3,,,,0.6,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,,0.7,0.7,,0.8,,,,0.8,,0.5,,,0.5,,
"Biscotti",0.008,,0.005,0.003,0.001,,,,,0.2,0,0.01,,,0.5,,0.5,0.5,0.6,,,,,,,0.3,,,,0.6,,,,,0.3,,,,0.3,,5,3,0.5,0.4,,,,,,,0.7,0.7,0.5,,,,,0.8,0.7,0.5,,,0.5,,
"Runtz",0.008,0.005,0.003,0.001,0.001,,,,,0.21,0,0.01,,,0.5,,0.5,,,,,,,0.3,,0.3,0.3,,,,,,,,0.3,,,,0.3,,5,3,,,,,,,,,,,,,,,,,,,,,0.7,,
"White Widow",0.008,,,,,,,,,0.15,,0.01,,,0.5,,,,,,,,,0.3,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,0.7,,,,,,,,,,,0.5,,
"Cherry Pie",0.008,0.005,0.003,0.001,0.001,,,,,0.16,0,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,,,,,,0.7,,
"AK-47",0.008,0.005,0.003,0.001,0.001,,,,,0.19,0,0.01,,,0.5,,0.5,,,,,,0.3,,0.6,0.8,0.6,0.7,,,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,,0.7,0.7,0.5,0.8,,,,0.8,0.7,0.5,,,0.5,,
"Fruity Pebbles (FPOG)",0.008,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,0.7,,
"Candyland",0.008,0.005,0.003,0.001,0.001,,,,,0.19,,0.01,,,0.5,,0.5,0.8,,,,,,,,0.3,0.3,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,0.7,,,,,,,,,,,,,,
"Lava Cake",0.008,,0.005,,0.003,,,,,0.22,0,0.01,,,0.5,,,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,,0.7,,,,,,
"Gelonade",0.008,,0.005,0.003,0.001,,,,,0.22,,0.01,,,0.8,,0.5,,,,,,,,,0.3,0.3,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,0.7,,,0.7,,,,,0.7,,
"Triangle Kush",,0.008,0.005,0.003,0.001,,,,,0.2,,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,0.3,,,,0.3,,,0.3,,5,3,,,,,,,,,,0.7,,,,,,,,,,,,,
"Banana Kush",0.008,,0.005,0.003,0.001,,,,,0.21,0,0.01,,,0.8,,,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,,,,,,,,,,,,,,0.7,,
"ACDC",,0.008,0.005,,0.003,,,,,0.01,0.13,0.01,,,0.5,,,,,,,,,,,0.3,,,,,,,,,0.3,,,0.3,0.3,,5,3,,,,,,,,,0.7,,0.5,0.8,,,,,0.7,0.5,,,,,
"Watermelon Zkittlez",0.008,,0.005,0.003,0.001,,,,,0.24,0,0.01,,,0.8,,0.5,0.5,0.6,,,,,,,0.3,,,,0.6,,,,,0.3,0.3,,0.3,0.3,,5,3,0.5,0.4,,,,,,,,,,,,,,,,,,0.7,,,
"Pennywise",0.008,0.005,0.003,0.001,0.001,,,,,0.08,0.08,0.01,,,0.5,,,,,,,,,,,0.8,,,0.3,,,,,,0.3,,,,0.3,,5,3,0.5,0.4,,,,,,,,,,,,,,,0.7,,,,,,
"Zookies",0.008,,0.005,0.003,0.001,,,,,0.21,,0.01,,,0.5,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,0.3,0.3,,5,3,,,,,,,,,0.7,0.7,0.5,,,,,0.8,0.7,0.5,,,0.5,,
"SFV OG",0.008,0.005,0.003,0.001,0.001,,,,,0.2,0,0.01,,,0.8,,,0.8,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,0.7,,,,,,,,,,,
"Papaya",0.008,0.005,0.003,0.001,0.001,,,,,0.17,0,0.01,,,0.5,,,0.5,0.6,,,,,,,0.3,,,,0.6,,,,,0.3,0.3,,,0.3,,5,3,0.5,0.4,,,,,,,,,,,,,,,,,,0.7,,,
"Guava",0.008,,0.005,0.003,0.001,,,,,0.21,0,0.01,,,0.8,,0.5,,,,,,,,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,,,,,,,,0.7,,,
"Chemdog (Chemdawg)",,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,0.7,,,,,,,,,0.5,,,,,
"Trainwreck",0.008,0.005,0.003,0.001,0.001,,,,,0.17,0,0.01,,,0.5,,0.5,,,,,,,0.8,0.6,0.3,0.6,0.7,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,0.7,,,,,,,,,,,
"GMO Cookies",0.008,,0.005,0.003,0.001,,,,,0.28,0,0.01,,,0.5,,,0.5,0.6,,,,,0.3,,0.3,0.3,,,0.6,,,,,0.3,,,,0.3,,5,3,0.5,0.4,,,,,,,,,,,,,,,,,0.7,,,,
"Mendo Breath",0.008,,0.005,0.003,0.001,0.001,,,,0.19,0,0.01,,,0.8,,,0.8,,0.3,,,,0.3,,0.3,,,,,,,,,0.3,0.3,,,0.3,,5,3,,,,,,,,,,,,,0.7,,,,,,,,,,
